Date,Open,High,Low,Close
2015-11-23,1098.4,1099.5,1083.5,1090.4
2015-11-24,1090.3,1090.3,1082.6,1084.2
2015-11-25,1084.2,1086.1,1082.4,1084.8
2015-11-26,1084.8,1096.7,1084.8,1096.6
2015-11-27,1096.6,1101,1091.6,1094
2015-11-30,1094,1094,1085.1,1086.7
2015-12-01,1086.9,1100.2,1086.9,1098
2015-12-02,1098,1111,1098,1104.4
2015-12-03,1103.1,1107,1094.4,1106.7
2015-12-04,1106.6,1106.6,1098.3,1100
2015-12-07,1094.7,1106,1094.7,1096.6
2015-12-08,1092.7,1092.7,1063.3,1064.2
2015-12-09,1064.2,1065,1052,1062.3
2015-12-10,1062.3,1063.8,1042,1048.6
2015-12-11,1043.1,1049.1,1024.6,1025.7
2015-12-14,1020,1020,990.1,990.2
2015-12-15,990.2,1000.5,988.3,1000.1
2015-12-16,1005.1,1020,1005,1005.6
2015-12-17,1006.2,1025.5,1006.2,1025
2015-12-18,1017.5,1044.5,1010,1043.7
2015-12-21,1043.7,1049.9,1042.2,1042.9
2015-12-22,1047,1047,1032,1033.8
2015-12-23,1036,1043.5,1030.1,1030.1
2015-12-24,1032,1035,1023.2,1023.3
2015-12-28,1023,1031.9,1019.9,1023.3
2015-12-29,1030,1080.1,1024,1080.1
2015-12-30,1083,1091.3,1078,1089.5
2016-01-04,1090,1097.9,1002.6,1064.7
2016-01-05,1064.7,1084.7,1052.9,1081.2
2016-01-06,1083.8,1092.4,1072.1,1090.6
2016-01-07,1090.6,1094.7,1069.5,1076.8
2016-01-08,1057.1,1089.4,1055.7,1087
2016-01-11,1082,1090.1,1062.9,1065
2016-01-12,1069.6,1085,1056.3,1056.3
2016-01-13,1065.1,1084.2,1064.3,1081.2
2016-01-14,1065,1078.7,1060,1075
2016-01-15,1080,1092.9,1066.2,1070
2016-01-18,1059.8,1083,1059.8,1076.9
2016-01-19,1072.7,1081.4,1069.6,1077.5
2016-01-20,1082,1082,1047,1067
2016-01-21,1072,1082,1053.4,1070.6
2016-01-22,1080.5,1080.5,1066.5,1078
2016-01-25,1085,1089.9,1078.1,1086
2016-01-26,1085.5,1088.8,1077.7,1079
2016-01-27,1082.6,1090.3,1075.1,1078.4
2016-01-28,1078.4,1089.4,1071,1085.3
2016-01-29,1085.5,1089.5,1080.1,1088
2016-02-01,1091.8,1101,1090.5,1098.6
2016-02-02,1098.6,1104.2,1096.7,1100.9
2016-02-03,1096,1100.1,1091.2,1092
2016-02-04,1095.9,1101.5,1089.3,1100
2016-02-05,1099.9,1103,1096.7,1098.1
2016-02-11,1082.9,1082.9,1042.6,1043.6
2016-02-12,1036.8,1036.8,966,967
2016-02-15,971.9,1003.9,971.9,997.4
2016-02-16,1003.9,1015.9,1003.9,1011.3
2016-02-17,1010,1016.8,971,971
2016-02-18,988.1,1010.5,988.1,1007.3
2016-02-19,1007.2,1017.2,1004.8,1012.7
2016-02-22,1012.7,1024.3,1012.5,1023.3
2016-02-23,1026.8,1032.4,1007,1008.5
2016-02-24,1008.5,1020,1005.2,1013.5
2016-02-25,1014.9,1024.4,1012.4,1014.1
2016-02-26,1014.4,1021.1,1014.4,1018
2016-02-29,1018.1,1025.9,1013.2,1025.9
2016-03-02,1039,1055,1039,1055
2016-03-03,1056.1,1069.3,1054.6,1067.8
2016-03-04,1070,1071.7,1065.6,1070
2016-03-07,1075,1079.3,1068.9,1070
2016-03-08,1071.5,1076.5,1064.5,1071.4
2016-03-09,1055,1085.5,1055,1085
2016-03-10,1086,1099.5,1086,1099.5
2016-03-11,1061.1,1061.1,1039.4,1044.7
2016-03-14,1045.3,1047.7,1032.5,1032.5
2016-03-15,1035,1046.2,1035,1037
2016-03-16,1036.8,1041.7,1036.3,1039.2
2016-03-17,1042.2,1046.5,1038.9,1040.3
2016-03-18,1041.9,1049.2,1040.2,1048.4
2016-03-21,1048.6,1051.9,1042.9,1043.5
2016-03-22,1044.9,1046.5,1040.8,1044.4
2016-03-23,1044.4,1048.6,1041.3,1043.5
2016-03-24,1040.5,1045.6,1039.7,1045
2016-03-25,1043.7,1046.9,1042.8,1044.8
2016-03-28,1045,1049.5,1043,1043.8
2016-03-29,1044.2,1050.1,1044.2,1050.1
2016-03-30,1052.5,1053.1,1049.3,1049.8
2016-03-31,1049.8,1052.1,1044,1044
2016-04-01,1045.8,1053.5,1042.3,1043
2016-04-04,1045.2,1058,1045.2,1057.5
2016-04-05,1057.5,1058.7,1052,1054.9
2016-04-06,1055.1,1055.1,1049.4,1051.6
2016-04-07,1052.4,1059.8,1052.4,1058.4
2016-04-08,1055,1057.7,1052.5,1057.3
2016-04-11,1057.3,1059.5,1043.6,1044.9
2016-04-12,1041.5,1044.5,1034.4,1036.4
2016-04-14,1053,1053,1039.7,1041.4
2016-04-15,1043.4,1047.9,1041.6,1047.9
2016-04-18,1045.5,1048.7,1040.5,1046.9
2016-04-19,1047.9,1055.1,1046.7,1054.3
2016-04-20,1053.3,1058.8,1047,1049.1
2016-04-21,1053.2,1054.3,1047.9,1049.3
2016-04-22,1048.5,1048.5,1042,1047.5
2016-04-25,1047.5,1053.8,1045.9,1053.8
2016-04-26,1053.8,1056.1,1044.7,1047.6
2016-04-27,1049,1051,1041.9,1042.6
2016-04-28,1044.1,1046.5,1035.1,1035.1
2016-04-29,1034,1035.1,1029,1030.6
2016-05-02,1032.1,1034.6,1019.1,1019.1
2016-05-03,1023,1037.5,1022.9,1034.8
2016-05-04,1030.6,1033.2,1026.8,1027.8
2016-05-09,1027.9,1030.9,1021.3,1024.9
2016-05-10,1024.9,1039,1024.9,1039
2016-05-11,1039.7,1046,1038.9,1043.5
2016-05-12,1039.8,1046,1037.9,1046
2016-05-13,1045.9,1045.9,1038.9,1038.9
2016-05-16,1038.7,1043.1,1036.2,1036.2
2016-05-17,1036.7,1040.2,1025.1,1027
2016-05-18,1026.9,1026.9,1007.8,1012
2016-05-19,1012,1020.9,1005,1017
2016-05-20,1016.6,1032.4,1015,1031
2016-05-23,1035,1043.3,1031,1041.6
2016-05-24,1039,1044,1033.1,1033.8
2016-05-25,1038.6,1045.9,1035.8,1044.4
2016-05-26,1044.4,1044.5,1035.9,1036
2016-05-27,1036.3,1042.7,1035.9,1041
2016-05-30,1041.7,1049.9,1039.7,1049.9
2016-05-31,1049.9,1059.2,1047.6,1056.6
2016-06-01,1056.6,1062.9,1055.9,1061.2
2016-06-02,1061.4,1063.6,1057.3,1060.8
2016-06-03,1061.7,1063.2,1059,1061.6
2016-06-07,1066.2,1069.9,1062.3,1069.7
2016-06-08,1069.8,1084.9,1068.4,1079.6
2016-06-09,1075,1095,1071.1,1078
2016-06-10,1035,1051,1032.8,1046.5
2016-06-13,1039.3,1041,1016.8,1016.8
2016-06-14,1015.4,1027,1012.9,1025.3
2016-06-15,1024.9,1035.8,1020,1035.1
2016-06-16,1035.1,1038.5,1006.3,1015
2016-06-17,1020,1026,1003,1004.4
2016-06-20,1009.6,1025.2,1009.6,1023.3
2016-06-21,1022.7,1024.5,1016.7,1024.4
2016-06-22,1023.9,1028.5,1021.4,1024.4
2016-06-23,1023.4,1023.4,1005,1013.6
2016-06-24,1020.4,1036.6,942.1,973
2016-06-27,967,981,940.2,974
2016-06-28,963,994.3,961.6,988
2016-06-29,993,1005,992.3,1000.3
2016-06-30,1008.3,1008.3,997.8,1003.3
2016-07-01,1008,1021,1004.3,1018
2016-07-04,1018.6,1024.5,1016.7,1020.6
2016-07-05,1020.6,1027.6,1017.8,1027
2016-07-06,1025,1025,1003.6,1007
2016-07-07,1010.6,1030,1010.6,1027.7
2016-07-08,1028.1,1031.3,1012.5,1016
2016-07-11,1021.6,1037.5,1020,1027.5
2016-07-12,1029,1035.6,1026.3,1026.6
2016-07-13,1030.6,1035.6,1030.1,1030.1
2016-07-14,1030.1,1032.9,1025.6,1029
2016-07-15,1030.7,1036.7,1023.9,1023.9
2016-07-18,1027,1033.7,1025,1025
2016-07-19,1030,1033.4,1024.6,1027.9
2016-07-20,1027.9,1033.4,1027.2,1033.4
2016-07-21,1036.7,1041.6,1036.4,1040.6
2016-07-22,1039,1042.4,1034.2,1035.2
2016-07-25,1041,1041,1029.1,1029.7
2016-07-26,1030,1032.3,1026.7,1030.6
2016-07-27,1031.4,1033.8,1022,1022
2016-07-28,1023.5,1027.4,1016.8,1023.2
2016-07-29,1025.1,1030.5,1024.1,1024.1
2016-08-01,1029.9,1032,1016,1016
2016-08-02,1016,1021.8,1015.3,1015.3
2016-08-03,1015,1021,1008.7,1012
2016-08-04,1014.3,1023.3,1014.3,1019.3
2016-08-05,1021.6,1024.7,1009.6,1011.6
2016-08-08,1014.3,1022,1012.9,1019.6
2016-08-09,1021.1,1036.9,1021.1,1032.8
2016-08-10,1035.6,1052.1,1035.6,1049.1
2016-08-11,1050,1051.9,1033,1033
2016-08-12,1040.8,1042.4,1036.6,1041.6
2016-08-16,1043,1044,1036,1036.2
2016-08-17,1032.3,1034.3,1017.4,1026.5
2016-08-18,1031.3,1038.5,1030,1035.3
2016-08-19,1037,1042.3,1037,1037
2016-08-22,1038.3,1040,1027,1027
2016-08-23,1026.5,1036,1026,1027.6
2016-08-24,1028,1031.5,1026.7,1029.7
2016-08-25,1031,1031,1022.8,1022.9
2016-08-26,1023.2,1023.3,1017.1,1021.5
2016-08-29,1016.9,1017.4,991,991
2016-08-30,996,1007,995.6,1001
2016-08-31,1001,1003.5,985.6,997
2016-09-01,997,1017.1,996,1015.8
2016-09-02,1016.6,1022.3,1012,1022
2016-09-05,1029.9,1029.9,1022.8,1023.1
2016-09-06,1023.1,1027.7,1018,1018
2016-09-07,1020,1030,1001.7,1009.7
2016-09-08,1010,1019.6,1000.3,1013
2016-09-09,990.8,991,972,980.8
2016-09-12,959,975.3,958.7,961.7
2016-09-13,969,973.3,964,969.2
2016-09-19,969.3,991.5,969.3,991.5
2016-09-20,986,996,982.4,995.9
2016-09-21,995.5,1002.5,991,1001
2016-09-22,1006,1016,1005.9,1011.5
2016-09-23,1013.5,1015,1007,1012.3
2016-09-26,1012.1,1017,1007.1,1007.7
2016-09-27,1005.4,1012.1,1000.4,1011
2016-09-28,1011.5,1012,1001.7,1002.5
2016-09-29,1004.5,1012.4,1004.5,1007.5
2016-09-30,1004.9,1005,984,984
2016-10-04,985,1000.7,985,997
2016-10-05,994.1,999.3,991.9,996
2016-10-06,997.2,1001.5,989.5,989.5
2016-10-07,989,992.5,971.3,972.1
2016-10-10,971.9,981,970.1,977.5
2016-10-11,976.5,984.2,970.1,972.4
2016-10-12,968.9,976.4,966.9,971.7
2016-10-13,971.9,974,960.8,961.8
2016-10-14,960.9,969.8,960.9,968.6
2016-10-17,967.4,967.8,957.7,959.9
2016-10-18,960.8,970,958.8,969.2
2016-10-19,969.2,977.4,969.2,975.5
2016-10-20,976.9,976.9,963.3,966.2
2016-10-21,964.5,970,957,957.1
2016-10-24,958.2,961.5,950.4,951.2
2016-10-25,950.2,952,935.7,945.1
2016-10-26,941.4,950,933.7,947.3
2016-10-27,947.1,971.1,947.1,971.1
2016-10-28,969.8,970.9,952.3,952.3
2016-10-31,949.9,950.7,935.7,937.2
2016-11-01,931.4,949.7,931,943
2016-11-02,938.7,940.1,917.2,917.2
2016-11-03,914.5,932.7,914.5,927
2016-11-04,926,929.9,917.6,929.9
2016-11-07,935,940.9,929.6,940.9
2016-11-08,942.6,945,937.7,941
2016-11-09,946.3,947.5,885.4,901
2016-11-10,924.7,947.5,924.7,942.5
2016-11-11,937.3,943,933,933
2016-11-14,933.5,936.8,926.8,926.8
2016-11-15,926.7,929.6,912.2,912.2
2016-11-16,920.5,937.5,920.5,935
2016-11-17,935,936.3,927.5,932.2
2016-11-18,934.4,939.9,921.2,923.5
2016-11-21,919.6,920.1,906.4,907.1
2016-11-22,911,918.2,907.2,914.8
2016-11-23,913.5,914.3,900.1,903.5
2016-11-24,900.5,905.7,884,891.5
2016-11-25,890,899.5,886.9,899.5
2016-11-28,899.5,900.2,887.1,887.6
2016-11-29,885,894.5,884.2,894.2
2016-11-30,894.7,895.3,887.5,893.1
2016-12-01,891.8,893.1,881.5,886.8
2016-12-02,884.6,885.6,870,870
2016-12-05,867.7,872.7,857.2,857.2
2016-12-06,859.6,870.9,859.6,869.5
2016-12-07,869.5,874.2,852.4,864
2016-12-08,866.4,880.8,866.4,874.9
2016-12-09,857.1,880.7,856.3,880.7
2016-12-12,884,893.3,882.7,893.3
2016-12-13,893.4,904.6,887.9,903.7
2016-12-14,906.5,909.9,900,904.5
2016-12-15,899.4,914.3,897,912.9
2016-12-16,914.3,916,906.7,912
2016-12-19,912.7,915.5,909.9,913
2016-12-20,913.4,914.6,899,899.8
2016-12-21,901.2,905,894.5,896.5
2016-12-22,896.7,900.4,892,893.1
2016-12-23,893.6,904,890,904
2016-12-26,905.2,905.8,899.5,900.2
2016-12-27,901.2,909.9,901.1,909.9
2016-12-28,911.5,929.9,909.6,929.9
2016-12-29,928.4,931.2,921.5,929.7
2017-01-02,929.1,932.9,920.8,921.3
2017-01-03,922.4,929.4,922.4,927.7
2017-01-04,928.1,935.7,927.7,933
2017-01-05,934,939.4,932.2,932.4
2017-01-06,934.1,934.7,927.4,931.8
2017-01-09,933.3,934.3,923.7,923.7
2017-01-10,922.8,923.6,910,910.1
2017-01-11,910.1,924.4,910.1,919.7
2017-01-12,919.7,920,909.1,910.2
2017-01-13,909.7,923.8,908,919.8
2017-01-16,921.2,921.2,907.7,911.4
2017-01-17,909,916.5,901.3,902.7
2017-01-18,902.7,909.8,897.3,909
2017-01-19,911,913.5,902.5,903.9
2017-01-20,902.3,906.2,897.2,898.9
2017-01-23,898.8,902.3,894.3,894.5
2017-01-24,894.4,896.2,888.3,889.9
2017-01-25,890.6,894.9,883.3,886
2017-01-26,888.5,900.5,883.4,900.5
2017-01-31,896.9,901.9,894.8,898.6
2017-02-01,900.5,911.9,900.2,911.9
2017-02-02,910.6,916.9,895,897.5
2017-02-03,897.5,907.5,891.2,895.7
2017-02-06,895.9,906.9,892,905
2017-02-07,905,905.7,897.5,900.1
2017-02-08,900,902.1,892,902.1
2017-02-09,902,903.7,897.8,903.7
2017-02-10,905.2,909.7,900.1,905.1
2017-02-13,905.1,909,900.3,908.5
2017-02-14,909,909.3,902.7,903.7
2017-02-15,904.1,916.7,902.9,916
2017-02-16,917.6,917.9,910.9,916.4
2017-02-17,913.8,920.4,912,917
2017-02-20,917,920,914.9,918.5
2017-02-21,919.5,924.4,917.7,922.3
2017-02-22,924.5,925.7,921.1,923
2017-02-23,924.4,926.2,916.1,916.1
2017-02-24,918.9,919.9,915,916
2017-02-27,918,918,911.2,912.8
2017-02-28,915,916.3,910.2,912.3
2017-03-02,915,916,908.1,909.4
2017-03-03,907.1,907.2,896.4,898.5
2017-03-06,894.9,904.9,890.5,904.5
2017-03-07,903.3,906.5,899.4,904.8
2017-03-08,903.2,908,902,902
2017-03-09,905.9,911.8,900.8,901.3
2017-03-10,893.9,910.5,887.8,910.5
2017-03-13,910.5,913,905.7,905.7
2017-03-14,907.8,909.4,902.6,904
2017-03-15,903.5,903.7,889.5,889.5
2017-03-16,895.1,904.4,893.9,904.4
2017-03-17,902,903.4,894.4,895.1
2017-03-20,895.2,895.2,886.9,893.1
2017-03-21,894.2,899,893.1,897
2017-03-22,893.6,899.1,892,893.6
2017-03-23,897,898,890.7,894.3
2017-03-24,894.6,897.5,891.6,897
2017-03-27,897,901.2,895.7,898.7
2017-03-28,901.7,907.2,898.9,906.6
2017-03-29,909.7,909.7,904.8,908.5
2017-03-30,909.8,910,906.3,908
2017-03-31,909.2,918,906.5,915.5
2017-04-03,917.8,934.6,915.5,933.3
2017-04-04,933.2,938.3,929.1,930.2
2017-04-05,934.9,938.1,929,936.1
2017-04-06,935,941.1,929.6,940.3
2017-04-07,940.7,943.6,937.7,942.3
2017-04-10,941,941.2,918.6,920.1
2017-04-11,920.3,930,913.7,926.7
2017-04-12,926.3,928,922,926.6
2017-04-13,926.6,932,925.3,930.3
2017-04-14,929.4,932.7,922,924
2017-04-17,926,939.4,926,939.2
2017-04-18,942.6,945,936.9,942.4
2017-04-19,942.5,945.7,939.6,943.5
2017-04-20,941.5,948.1,941.4,941.4
2017-04-21,945.1,946,937,941.7
2017-04-24,942.8,944.7,930.9,932.9
2017-04-25,934.6,942.9,932.6,941
2017-04-26,943.1,948.2,943.1,945.4
2017-04-27,948.5,948.5,935.7,937.4
2017-04-28,937.9,943.1,930.4,937
2017-05-02,937,942.8,935.4,938.1
2017-05-04,938.2,955.8,938.2,955.8
2017-05-08,958.2,977.6,958.2,974
2017-05-10,978.5,986.5,966,971.4
2017-05-11,972,980.6,971.7,980.5
2017-05-12,980.9,980.9,968,972.6
2017-05-15,972.2,978.9,969.1,973.3
2017-05-16,974.2,979.9,962.5,969.5
2017-05-17,968.5,970.4,962,969.5
2017-05-18,962,962.5,952.4,962.5
2017-05-19,960.2,968.4,960.2,965.9
2017-05-22,968.5,971.1,963,966
2017-05-23,967.9,971.7,965.5,967
2017-05-24,971.4,975.9,970.1,975.4
2017-05-25,975.4,978,971.1,975.3
2017-05-26,975.3,977.1,972.3,976.3
2017-05-29,976.7,976.7,966.1,970.2
2017-05-30,972.3,979.8,968.6,979
2017-05-31,979,987.4,977.4,986.5
2017-06-01,985.8,991.5,984,988.8
2017-06-02,991.5,999,990.9,999
2017-06-05,1000,1008,998,1008
2017-06-07,1008.1,1015.6,1002.6,1013.3
2017-06-08,1013.6,1029.4,1013.6,1026.2
2017-06-09,1013.5,1017.2,1007.1,1017.2
2017-06-12,1012.8,1012.8,935.9,998
2017-06-13,996.6,1011.6,996.6,1010.8
2017-06-14,1011,1019,1007,1014.3
2017-06-15,1014.3,1014.5,998.7,1011
2017-06-16,1010.8,1012.5,1003.2,1012
2017-06-19,1013,1022.9,1010.8,1019.7
2017-06-20,1022.9,1029,1017.8,1017.8
2017-06-21,1013.9,1018.5,1008.3,1018
2017-06-22,1019.4,1020.1,1009.9,1009.9
2017-06-23,1012,1021.4,1010.9,1018.6
2017-06-26,1020,1022.2,1015.1,1020.8
2017-06-27,1021.2,1029.9,1021.2,1027
2017-06-28,1022.6,1023.1,1010.6,1011
2017-06-29,1015.7,1021.8,1014.8,1021.8
2017-06-30,1006.7,1020,1006.7,1019.5
2017-07-03,1020.2,1022.9,1006,1011.5
2017-07-04,1011.5,1013.4,1000.5,1005.7
2017-07-05,1003.9,1010.5,1002.8,1009
2017-07-06,1011,1015.5,1011,1014.9
2017-07-07,1011.9,1015.4,1007.6,1015.1
2017-07-10,1018,1018.5,1006.2,1007
2017-07-11,1007.3,1010.3,999.8,1003.8
2017-07-12,1003.8,1005.2,989.8,991.1
2017-07-13,994,1001.9,991.9,1001.9
2017-07-14,999.6,1000.6,993.4,999.9
2017-07-17,1004.1,1014.5,1002.5,1014
2017-07-18,1014,1019,1011.6,1018.3
2017-07-19,1020.3,1032.3,1019.1,1031.9
2017-07-20,1032.8,1046.2,1031.8,1036
2017-07-21,1041.2,1041.9,1033.6,1036.7
2017-07-24,1038.7,1043,1034.3,1037.3
2017-07-25,1038.9,1039.9,1022,1022
2017-07-26,1024.9,1030,1018.9,1030
2017-07-27,1030.2,1034.8,1025.8,1029.9
2017-07-28,1027,1027,1006.4,1006.4
2017-07-31,1002.9,1008.8,996.5,1006.4
2017-08-01,1006.4,1012.4,1002.9,1006
2017-08-02,1009,1014.1,1008.3,1012.2
2017-08-03,1011.7,1012.5,985.5,985.5
2017-08-04,986.2,993.7,976.5,985.5
2017-08-07,987.9,1001.4,984.6,999.5
2017-08-08,1002,1005.2,992.7,1001.6
2017-08-09,997.4,999.8,990,991.1
2017-08-10,990.1,997.7,983.6,989.5
2017-08-11,970,985.9,969.1,969.1
2017-08-14,976.8,979.6,972.1,978.7
2017-08-16,985.6,993.6,983,992.6
2017-08-17,994.1,1006.3,991.2,1005.7
2017-08-18,996.6,1008.8,992.5,1002.2
2017-08-21,1006.2,1008,997.3,999
2017-08-22,1001.1,1008.9,1000.5,1005.2
2017-08-23,1010.3,1012.4,1003.6,1003.8
2017-08-24,1004,1011.8,1004,1011.8
2017-08-25,1014.2,1015.6,1010.6,1015.3
2017-08-28,1015.6,1024.5,1012.7,1022.3
2017-08-29,1019.2,1025.3,1013.6,1023.2
